SPOLDZZWM;774555621;0;0;0;1
ADM 1 ZWM;774555717;0;0;0;2
ADM 2 ZWM;774555830;0;0;0;3
ADM 3 ZWM;774559297;0;0;0;4
ADM 4 ZWM;774559079;0;0;0;5
SPOLDZPRZYSZL;774538601;0;0;0;6
ADM P CENTRUM;774536616;0;0;0;7
ADM P CHABRY;774558971;0;0;0;8
ADM P DAMBONIA;774743890;0;0;0;9
BANK MULTI;774232604;0;0;0;10
BANK GE;774231501;0;0;0;11
BANKPKOBP;774031247;0;0;0;12
BANKGETIN;774022443;0;0;0;13
BANKGETIN-FAX;774022444;0;0;0;14
NOT MYGA;774546799;0;0;0;15
NOTKONOPEK;774544820;0;0;0;16
NOTKONOPEK-FAX;774567536;0;0;0;17
NOTSTASZ;774545689;0;0;0;18
NOTSTASZ-FAX;774417731;0;0;0;19
NOTLEWEK;774565839;0;0;0;20
NOTLEWEK-FAX;774546799;0;0;0;21
NOTNIEDUZ;774022146;0;0;0;22
NOTNIEDUZ-FAX;774531533;0;0;0;23
LANKO;774541108;0;0;0;24
LANKOPRACOW;774230815;0;0;0;25
GAZPOSREDNIK;774546421;0;0;0;26
GAZPOSREDNIK-FAX;774546422;0;0;0;27
GAZNTO;774432537;0;0;0;28
GAZNTO-FAX;774432540;0;0;0;29
OSPPRN;774417940;0;0;0;30
OSPPRN-FAX;774231280;0;0;0;31
CARDOM;774837204;0;0;0;32
CARDOM-KOM;602379956;0;0;0;33
ARKADA;774484348;0;0;0;34
BYRSKA-1;774339580;0;0;0;35
BYRSKA-2;774339544;0;0;0;36
CYKOWSKI;774542575;0;0;0;37
CYKOWSKI-KOM;602621861;0;0;0;38
MROZEK;774231280;0;0;0;39
MROZEK-KOM;602284775;0;0;0;40
JAKIEL-1;774566903;0;0;0;41
JAKIEL-2;774543413;0;0;0;42
JAKIEL-FAX;774231280;0;0;0;43
JAKIEL-KOM;606413118;0;0;0;44
OLECHJAKIEL;774543413;0;0;0;45
OLECHJAKIEL-KOM;606617578;0;0;0;46
MISKOW;774542575;0;0;0;47
MISKOW-KOM;608093246;0;0;0;48
SOKOLOW;774476010;0;0;0;49
SOKOLOW-KOM;601372743;0;0;0;50
SWIATEK;774606670;0;0;0;51
SWIATEK-KOM;606956670;0;0;0;52
OGN-1;774417675;0;0;0;53
OGN-2;774564701;0;0;0;54
OGN-KOM;601783298;0;0;0;55
DOLZYCKA;774543301;0;0;0;56
GACHINVEST;774092850;0;0;0;57
GALAZKA;774619462;0;0;0;58
GALAZKA-KOM;604619462;0;0;0;59
OPOLDOM;774417608;0;0;0;60
OPOLDOM-KOM;604103331;0;0;0;61
GUTDOM;774543333;0;0;0;62
GUTDOM-FAX;774232222;0;0;0;63
GUTDOM-KOM-1;602639053;0;0;0;64
GUTDOM-KOM-2;606244452;0;0;0;65
AG-1;774542374;0;0;0;66
AG-2;774542834;0;0;0;67
AG-KOM-1;606120704;0;0;0;68
AG-KOM-2;606120705;0;0;0;69
HELD;774556791;0;0;0;70
ESTATE;774410943;0;0;0;71
WGN;774543643;0;0;0;72
WGN-FAX;774566686;0;0;0;73
WGN-KOM;502716914;0;0;0;74
FINANS-1;774338545;0;0;0;75
FINANS-2;774090310;0;0;0;76
FINANS-FAX;774090320;0;0;0;77
IWONA-NIERU;774426557;0;0;0;78
KORMORAN;774544580;0;0;0;79
KORMORAN-KOM;501073111;0;0;0;80
GEOLAND;774169059;0;0;0;81
GRUDZICE;774567382;0;0;0;82
GRUDZICE-FAX;774567343;0;0;0;83
GRUDZICE-KOM-1;501540093;0;0;0;84
GRUDZICE-KOM-2;501459333;0;0;0;85
LASKOWSKI;774410516;0;0;0;86
LASKOWSKI-KOM;502030166;0;0;0;87
DOMEL;774835690;0;0;0;88
DOMEX;774547782;0;0;0;89
MIRONOWICZ-1;774555835;0;0;0;90
MIRONOWICZ-2;774021831;0;0;0;91
MIRONOWICZ-3;774564209;0;0;0;92
MIRONOWICZ-KOM;500648353;0;0;0;93
MROZ;713652347;0;0;0;94
MURANSKA;748663938;0;0;0;95
GRAFOS;774546447;0;0;0;96
GRAFOS-FAX;774536273;0;0;0;97
GRAFOS-KOM-1;606162021;0;0;0;98
GRAFOS-KOM-2;694025007;0;0;0;99
GRAFOS-KOM-3;509702024;0;0;0;100
NOWACKA;774747542;0;0;0;101
SBON;774425963;0;0;0;102
SBON-FAX;774566064;0;0;0;103
SBON-KOM;602195277;0;0;0;104
INVESTOR;774537053;0;0;0;105
INVESTOR-KOM;660993014;0;0;0;106
INVESTDOM;774748800;0;0;0;107
INVESTDOM-KOM;696063877;0;0;0;108
KREDYTNET;774541762;0;0;0;109
KREDYTNET-KOM-1;693342012;0;0;0;110
KREDYTNET-KOM-2;602427124;0;0;0;111
SELEKTA;774410995;0;0;0;112
SELEKTA-KOM-1;604115115;0;0;0;113
SELEKTA-KOM-2;501494328;0;0;0;114
WILLA-KOM;507167006;0;0;0;115
PODOLIN;774183231;0;0;0;116
LOKUM;774544235;0;0;0;117
LOKUMNYSA;774339470;0;0;0;118
PROKOP;774543487;0;0;0;119
NGN;774355490;0;0;0;120
NGN-KOM;607359469;0;0;0;121
ESPERO;774838325;0;0;0;122
WILK;774420450;0;0;0;123
FIDEM;774646847;0;0;0;124
SOOL;774531763;0;0;0;125
SOOL-FAX;774530312;0;0;0;126
SOOL-KOM;604455625;0;0;0;127
WOJCIK;774353355;0;0;0;128
FENIX;774366548;0;0;0;129
CENTRUM;774575777;0;0;0;130
CENTRUM-KOM;604977338;0;0;0;131
BAJ;774417844;0;0;0;132
BAJ-FAX;774536233;0;0;0;133
BAJ-KOM;601545481;0;0;0;134
ALDOM;774651577;0;0;0;135
ALDOM-KOM;508237594;0;0;0;136
KNUTER;774578952;0;0;0;137
KNUTER-KOM;604966861;0;0;0;138
OSON;774537532;0;0;0;139
OSON-FAX;774565796;0;0;0;140
OSON-KOM-1;505032700;0;0;0;141
OSON-KOM-2;600268101;0;0;0;142
WORKSERVICE;774417754;0;0;0;143
WORKSERVICE-KOM;501153746;0;0;0;144
Bartek Zapart;664825878;0;0;0;145
